Saison; Termin; Tipptermin; Spielpaarung/Frage; Gruppe; Ergebnis; Punkteregel; Tippabgaberegel
WM; 22.06.14 18:00; 22.06.14 18:00; USA; Portugal; Gruppe G; 2:2; Matches; 0 min. before event
WM; 23.06.14 12:00; 23.06.14 12:00; Australien; Spanien; Gruppe B; 0:3; Matches; 0 min. before event
WM; 23.06.14 12:00; 23.06.14 12:00; Niederlande; Chile; Gruppe B; 2:0; Matches; 0 min. before event
WM; 23.06.14 16:00; 23.06.14 16:00; Kamerun; Brasilien; Gruppe A; 1:4; Matches; 0 min. before event
WM; 23.06.14 16:00; 23.06.14 16:00; Kroatien; Mexiko; Gruppe A; 1:3; Matches; 0 min. before event
WM; 24.06.14 12:00; 24.06.14 12:00; Italien; Uruguay; Gruppe D; 0:1; Matches; 0 min. before event
WM; 24.06.14 12:00; 24.06.14 12:00; Costa Rica; England; Gruppe D; 0:0; Matches; 0 min. before event
WM; 24.06.14 16:00; 24.06.14 16:00; Japan; Kolumbien; Gruppe C; 1:4; Matches; 0 min. before event
WM; 24.06.14 16:00; 24.06.14 16:00; Griechenland; Elfenbeinküste; Gruppe C; 2:1; Matches; 0 min. before event
WM; 25.06.14 12:00; 25.06.14 12:00; Nigeria; Argentinien; Gruppe F; 2:3; Matches; 0 min. before event
WM; 25.06.14 12:00; 25.06.14 12:00; Bosnien-Herzegowina; Iran; Gruppe F; 3:1; Matches; 0 min. before event
WM; 25.06.14 16:00; 25.06.14 16:00; Honduras; Schweiz; Gruppe E; 0:3; Matches; 0 min. before event
WM; 25.06.14 16:00; 25.06.14 16:00; Ecuador; Frankreich; Gruppe E; 0:0; Matches; 0 min. before event
WM; 26.06.14 12:00; 26.06.14 12:00; Portugal; Ghana; Gruppe G; 2:1; Matches; 0 min. before event
WM; 26.06.14 12:00; 26.06.14 12:00; USA; Deutschland; Gruppe G; 0:1; Matches; 0 min. before event
WM; 26.06.14 16:00; 26.06.14 16:00; Südkorea; Belgien; Gruppe H; 0:1; Matches; 0 min. before event
WM; 26.06.14 16:00; 26.06.14 16:00; Algerien; Russland; Gruppe H; 1:1; Matches; 0 min. before event
WM; 28.06.14 12:00; 28.06.14 12:00; Brasilien; Chile; Achtelfinale; 4:3nE; Matches; 0 min. before event
WM; 28.06.14 16:00; 28.06.14 16:00; Kolumbien; Uruguay; Achtelfinale; 2:0; Matches; 0 min. before event
WM; 29.06.14 12:00; 29.06.14 12:00; Niederlande; Mexiko; Achtelfinale; 2:1; Matches; 0 min. before event
WM; 29.06.14 16:00; 29.06.14 16:00; Costa Rica; Griechenland; Achtelfinale; 6:4nE; Matches; 0 min. before event
WM; 30.06.14 12:00; 30.06.14 12:00; Frankreich; Nigeria; Achtelfinale; 2:0; Matches; 0 min. before event
WM; 30.06.14 16:00; 30.06.14 16:00; Deutschland; Algerien; Achtelfinale; 2:1nV; Matches; 0 min. before event
WM; 01.07.14 12:00; 01.07.14 12:00; Argentinien; Schweiz; Achtelfinale; 1:0nV; Matches; 0 min. before event
WM; 01.07.14 16:00; 01.07.14 16:00; Belgien; USA; Achtelfinale; 2:1nV; Matches; 0 min. before event
WM; 04.07.14 12:00; 04.07.14 12:00; Frankreich; Deutschland; Viertelfinale; 0:1; Matches; 0 min. before event
WM; 04.07.14 16:00; 04.07.14 16:00; Brasilien; Kolumbien; Viertelfinale; 2:1; Matches; 0 min. before event
WM; 05.07.14 12:00; 05.07.14 12:00; Argentinien; Belgien; Viertelfinale; 1:0; Matches; 0 min. before event
WM; 05.07.14 16:00; 05.07.14 16:00; Niederlande; Costa Rica; Viertelfinale; 4:3nE; Matches; 0 min. before event
WM; 08.07.14 16:00; 08.07.14 16:00; Brasilien; Deutschland; Halbfinale; 1:7; Matches; 0 min. before event
WM; 09.07.14 16:00; 09.07.14 16:00; Niederlande; Argentinien; Halbfinale; 2:4nE; Matches; 0 min. before event
WM; 12.07.14 16:00; 12.07.14 16:00; ; ; Spiel um Platz 3; -:-; Matches; 0 min. before event
WM; 13.07.14 15:00; 13.07.14 15:00; ; ; Finale; -:-; Matches; 0 min. before event
